,매출총이익,총자본,영업이익,당기순이익,매출채권,판매 및 관리비,영업현금흐름,최대주주비율,결산기간_주가변동률,차입금의존도,조회공시요구카운트,BW금액,최대주주변경카운트,최대주주비율_변동성,유상증자금액,불성실공시법인지정카운트,상호변경카운트,결산기간_거래량증가,타법인주식및출자증권취득결정금액,CB금액,최대주주변경을수반하는주식양수도금액
2012-01,0.16768123271307558,0.13335821100824552,0.15566823266103122,0.13630318721040616,0.08252592357214812,0.08193068295335783,0.07019086268619144,0.07818767780105255,0.014416346925417187,0.02352320509513044,0.01430461446603023,0.01039873717144009,0.0015771029500185564,0.020397403802042136,0.0017251861852705466,0.0022631347097788563,3.2129527203016217e-06,0.002743593218055092,0.0008223697102500797,0.001504118637506766,0.0004749635708314123
2013-01,0.1787923732849508,0.14774282329770255,0.14007394883335722,0.10710708726565912,0.10589223537703943,0.10506338637927601,0.07556092388154179,0.06586402778541853,0.0186284203585541,0.018023900318780803,0.013192457149640607,0.011371225035995516,0.003002701261740169,0.0021869882424486935,0.0019999771881683615,0.0019786475931195444,0.0010134056703281803,0.0007363400816941656,0.0006435294872877114,0.0005735271444826242,0.0005520743628140835
2014-01,0.18053549339784217,0.1584481203053281,0.12713046397193492,0.09831016813847109,0.12029988081002588,0.12278486020455939,0.07916569487866486,0.04990974220955525,0.024059346853672805,0.018210375885080014,0.007508663449657479,0.00023541179860192424,0.001685396862662289,0.0012399658492861728,0.001667190829488051,0.0009630136837630797,0.0002950265711335741,0.0019305399784886176,0.0005370064499818101,0.004910541525741522,0.00017309634606108064
2015-01,0.13558375876476617,0.13167225013578876,0.14506444538378124,0.12724568439374956,0.08189697123050356,0.07463731771367149,0.09017529366655637,0.07678414403284134,0.016245266752167354,0.050535642361407306,0.025528354090720608,0.00013594322759100092,0.005776428432432357,0.007806279725347704,0.0013447496789629454,0.001490586257425944,0.0009382463948250594,0.004097159580182885,0.000624558393266452,0.020498939870320983,0.0019179799136907448
2016-01,0.16081357271037086,0.14397773760713717,0.11702091723406269,0.08479656360523304,0.1134553652435214,0.11597355225694486,0.08695615785495064,0.059587690746147046,0.02030962771187288,0.007012994194817046,0.01467295941595183,0.0001345525355320524,0.0076069393039399835,0.02725568607125334,0.00033342473075011425,0.001517693533910029,0.0008260142301326893,0.009621317110722305,0.0012671234346931476,0.024904892058450152,0.0019552184096065938
2017-01,0.16246895619695134,0.1514761992059029,0.129892397130541,0.10982474915505781,0.1145661405066636,0.110017143600722,0.08023738251214617,0.06498872198881368,0.022923571243625717,0.007119642862033272,0.006641363739307957,0.00018593794533537257,0.005320370458995699,0.010329385388442091,0.0006437083808966101,0.0017882671344826967,0.000409733999389591,0.001999953460565435,0.0005882264276149225,0.017958251693679685,0.0006198969688324721
2018-01,0.15674397384058988,0.13388967233883575,0.1184833458515126,0.09629497712341788,0.10113449389974287,0.10194221351076062,0.07299485470150728,0.09867126270542832,0.019688954814151685,0.018210748535502502,0.003832559195755342,0.0004334804139487708,0.00844556044461195,0.016709654079064655,0.00038714370002152827,0.0027932592737006877,0.0010876279777537144,0.010534122740060213,0.002983564688999857,0.03285862366838849,0.0018799064962451897
2019-01,0.15011279991279003,0.13858088580899608,0.11712935026137872,0.09799251824532479,0.1095414888025968,0.0940148252545277,0.07592770209878819,0.09410216949868142,0.02132250836042293,0.02410993390674821,0.003566575996757518,0.00018730626916952853,0.008162937018652042,0.0063532057996945075,0.0008551274916732072,0.00396472506695157,0.0012149185791286263,0.017102455670550982,0.0023194289008620413,0.032093646295672774,0.0013454907606322865
2020-01,0.16858439270805572,0.14712811425463648,0.11283380419482868,0.08424849185938733,0.11885290231428294,0.11301076372628795,0.10477452577191342,0.07048338760858197,0.02356875525486587,0.01389474166025397,0.0033281434622753022,0.00016135160404622708,0.004274060537521878,0.011485163580697148,0.0011760564316259682,0.002574103137708618,0.0006374211416481593,0.0014079121389031716,0.0009836642842213576,0.016113656683734327,0.0004785876445235864
2021-01,0.15948755237909004,0.13626193931416278,0.13062322404426377,0.11681729704453833,0.11356207755973918,0.09846412831185347,0.091721422720924,0.06982606673267512,0.023025280302394403,0.02002357222285724,0.0006165158123067547,0.0004215044436535453,0.0029046475942587817,0.0026917050345552818,0.002953245875353845,0.0013001663009587008,0.0004409499548421068,0.0015123464454284584,0.0017832528761537758,0.025253640856790435,0.00030946417320014576
