,당기순이익,차입금의존도,영업현금흐름,최대주주비율,판매 및 관리비,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액+타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액+BW금액+CB금액+유상증자금액,결산기간_주가변동률,경영권분쟁소송+최대주주변경카운트+불성실공시법인지정카운트+조회공시요구카운트+상호변경카운트+업종변경카운트,결산기간_거래량증가,최대주주비율_변동성
2012-01,0.14365883649842653,0.03178133813582958,0.13653619485654878,0.15725702304005532,0.20618235887987713,0.00875672121602451,0.12210403711097854,0.012546902429910115,0.08748166151603701,0.09369492631631239
2013-01,0.27294624252129535,0.212941842518363,0.15931773655455816,0.11887174830907307,0.09042084036228194,0.04915846644527762,0.04515379322557565,0.03778066638640377,0.011477898014363698,0.0019307656628076274
2014-01,0.25525119113465744,0.2580846811245859,0.1419967410688364,0.1299046893294536,0.0940965525923452,0.04199142500698058,0.0410981388752526,0.03127241020179888,0.0013529986920245978,0.004951171974064874
2015-01,0.22670802736475837,0.19821913841424252,0.1353710216675072,0.13739667833463748,0.09681976539848887,0.05300803716065188,0.04112280607552737,0.08412563585831678,0.003272559345074827,0.023956330380794595
2016-01,0.11500374286298357,0.005412112663746137,0.10988816029914111,0.024148680815840016,0.13746586395325675,0.003909365380792419,0.040744645403787645,0.03262773162832711,0.515387155021396,0.01541254197072935
2017-01,0.14768063149448338,0.014579909437294737,0.11323651280693207,0.06811930920215,0.1178844713414413,0.036137439270144484,0.04448260852738082,0.033885554114235314,0.4157731997459885,0.008220364059949511
2018-01,0.13051154976005525,0.0685754022244028,0.12557653078718048,0.12438707651323108,0.27516462736010244,0.008265556823535622,0.20389277871651174,0.015118054677341992,0.0078916348890695,0.04061678824856923
2019-01,0.1437084463074447,0.038581428711906327,0.1542617381119591,0.1419159462670276,0.24146442529187465,0.014455877609000328,0.1778531892330438,0.0206052202052658,0.05203716318940392,0.015116565073073886
2020-01,0.18575943778998433,0.1691948198963719,0.1523301058035084,0.19324183181764973,0.09972617852512075,0.07852815179130665,0.03984926784533774,0.04331204884763787,0.0063349003376495456,0.031723257345433346
2021-01,0.16023731914084488,0.0343448183354882,0.12400955980008947,0.08138345572147758,0.09769206596269091,0.036601417925293055,0.035712520484606214,0.02641894616729072,0.3869112892295938,0.016688607232625056
