,당기순이익/총자본,영업이익/총자본,판매 및 관리비/총자본,총자본,영업현금흐름/총자본,최대주주비율,차입금의존도,매출총이익/총자본,매출채권/총자본,BW금액+CB금액+유상증자금액/총자본,경영권분쟁소송+불성실공시법인지정카운트+조회공시요구카운트,결산기간_주가변동률,결산기간_거래량증가,최대주주변경카운트,최대주주비율_변동성,타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액/총자본,상호변경카운트+업종변경카운트,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액/총자본
2012-01,0.20847648957765894,0.17976268736966244,0.11039804064555929,0.11539076387511189,0.06498894048278296,0.07741391910846494,0.053339029536871516,0.07384033897989999,0.033718460404324725,0.03405944595559848,0.013029148860642083,0.011292501954098583,0.0009562464744938416,0.0029282678876299106,0.018595647152930696,0.00024132338920859208,0.0009361494558722365,0.0006325988891887231
2013-01,0.22191996015516513,0.1963747690634003,0.10985845766819329,0.08111357838779051,0.0806501502879424,0.07376447205312701,0.07278947871875313,0.06935398511058104,0.04580395141827618,0.022483673311620597,0.010524043196140238,0.00572868059395673,0.0023337459816324467,0.0021019027714794113,0.0020425181234122146,0.0017444003443226603,0.001004197494165845,0.00040803532004084984
2014-01,0.14995165471852473,0.2001162846028129,0.11978980285459899,0.02612976017394204,0.08648390355743152,0.016764905763299587,0.025868213560021478,0.30007959031505105,0.06041548572441388,0.004576395409437443,0.0017966911856789356,0.0028936155861076646,0.0014969333050605996,0.0002662915377194259,0.002792876056561081,0.0001899660199690221,0.00038320056719423585,4.429062175613137e-06
2015-01,0.1934631086135477,0.20807039500210547,0.08672708048515981,0.11149627403547607,0.07539994331716021,0.07343653353835784,0.05294577741828756,0.07548867357340008,0.026020694408444265,0.03392334219771519,0.02559251877083332,0.013265714807835024,0.0007613334807422005,0.005316766530864326,0.01203261345194385,0.0014773352210491696,0.0021182247249606906,0.002463670422117183
2016-01,0.175240918384522,0.1602504476315532,0.08494839910977081,0.12420556523358418,0.08831185212625867,0.08720246726399973,0.053041666609385016,0.06331784839970099,0.032756469983323225,0.055442738054625545,0.017010747070211298,0.01652983848844409,0.002302158094746823,0.008632976141122082,0.02025171774916824,0.004939045830489295,0.0014605521798916005,0.004154591649203315
2017-01,0.1976163759922813,0.175260398676327,0.09173237814681014,0.12778054007056497,0.0793549770852803,0.10016153833302632,0.036817523150897195,0.06146335136818951,0.023058659908958123,0.03683183660578575,0.018911530745126158,0.02473441793227373,0.0011397904803518832,0.006276365398820764,0.012328110113715224,0.002200208354366551,0.0003008870367266465,0.004031110600498609
2018-01,0.12312309960595445,0.16667803853432245,0.08424084901504386,0.058717264590711575,0.08248429579291992,0.028240414699099478,0.034744845923315615,0.2392500471943771,0.11653616758033629,0.02085802143688324,0.006401437148393317,0.013523979062498945,0.007221140367771963,0.004150706556617237,0.010826985940411451,0.0006379108422258004,0.0003879066090529112,0.0019768891000645095
2019-01,0.19284807639789875,0.19437416911969804,0.09911800349872564,0.1202258363182219,0.0977763518445137,0.07973022404169025,0.04749547190987786,0.06293972318357946,0.01962330531324498,0.039903780074818304,0.009038329227517385,0.015470387377016018,0.006383861411512106,0.005075770868858248,0.00310648416671254,0.002767469154769906,0.000894839129471888,0.0032279169618730777
2020-01,0.20182776842713596,0.2126976418070831,0.004280386539845554,0.13826329617291933,0.11232337922389676,0.08877563994239412,0.02837028465224165,0.06365656991905448,0.013018835431713198,0.031646076748784314,0.011614490333814696,0.06632125500457371,0.00496068042885165,0.0049984369075984246,0.011431011025739323,0.0014779928726807155,0.0017392837389365772,0.002596970822736427
2021-01,0.11140451393484532,0.1571353542114817,0.08904549899840762,0.05881699428528568,0.08151381434270438,0.04444388417888727,0.03199527082841576,0.2649558176254278,0.10759385793405916,0.02287366116202581,0.0039681087940640165,0.019046214530323353,9.931509082337014e-05,0.003171428117661364,0.00254883427397265,2.441963059972996e-06,0.0005250318826441991,0.0008599578459104981
