,매출채권/총자본,차입금의존도,판매 및 관리비/총자본,결산기간_거래량증가,최대주주비율,BW금액+CB금액+유상증자금액/총자본,타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액/총자본,경영권분쟁소송+불성실공시법인지정카운트+조회공시요구카운트,결산기간_주가변동률,영업현금흐름/총자본,최대주주비율_변동성,최대주주변경카운트,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액/총자본,상호변경카운트+업종변경카운트
2012-01,0.2999645770940957,0.27355457342143463,0.15360820129067876,0.15044902802381505,0.05558214247374207,0.029919745079538852,0.0018396298502079192,0.012064523977755315,0.00859957947300983,0.0034124349563145495,0.009813641746566697,0.0008024785478076412,0.00011691748677849678,0.000272526578254652
2013-01,0.2725049889197715,0.2663599111123195,0.19753318130544695,0.14630603038911966,0.06591171860512002,0.023153233059188646,0.010589036885002727,0.006433996695968716,0.005024433841553104,0.0043083138815873815,0.0014604586861681169,0.0003544073921008434,5.8642068901232754e-05,1.6471577517004978e-06
2014-01,0.2855180732962492,0.24935335211893675,0.20877901830425705,0.14319658798650522,0.06169733233908085,0.01611812100145804,0.003563918111862366,0.012493345941331484,0.009567958466079163,0.003755119383380588,0.00526058899491035,0.0005903468006606682,1.8590941453060062e-05,8.764631383502488e-05
2015-01,0.28352860434105975,0.2505626135815005,0.2038959444978264,0.14006094026456495,0.06026074009165305,0.01897849521157219,0.007156936789950143,0.008947825072850305,0.006782786599558124,0.0002746430907126057,0.017826551361884484,0.0010239296583994567,0.00013200481363928457,0.0005679846248287253
2016-01,0.07823970015511421,0.09154901121103591,0.053172343133211106,0.003306742882097659,0.2076568929901416,0.14535462291023168,0.013662043749621412,0.03543243337279677,0.04324875546544635,0.23504238715618717,0.05015964010336273,0.02805442613676907,0.011627681021723018,0.003493319712261172
2017-01,0.3592590917901218,0.23749638632198516,0.17250002687360594,0.001053439144148285,0.14920643453595675,0.015930109793441064,0.004096414673092259,0.004632574601628668,0.025772930820611568,0.022282431521515732,0.004218119566000226,0.0016578312347823095,0.0008869687116407414,0.001007240411469489
2018-01,0.07949687117826654,0.10760124072497249,0.049570120672626526,0.023348297636227654,0.2182849244606068,0.12918449351325392,0.012103066436250028,0.020206379269798118,0.04958091262154604,0.21103408265656984,0.06824170501552584,0.018703843754692067,0.011520033916327447,0.0011240281433367095
2019-01,0.07831251504087516,0.12677403536639145,0.07753624419500954,0.028667920954708444,0.23331261162980493,0.0968504594697526,0.013115186226032458,0.024487136211856473,0.06970354619869207,0.18949677028588865,0.02743276539853294,0.020838755068444237,0.01075670385276695,0.0027153501012439937
2020-01,0.08661506874052184,0.10023783128003914,0.07823972972461013,0.0013838026014222726,0.2610961760657273,0.0832532989779354,0.0067312445352763935,0.02556576770074217,0.048196357656108565,0.21301383975346266,0.07340745885284906,0.012766470613626103,0.006350918501683961,0.0031420349959949932
2021-01,0.09035360276644461,0.1091117915970029,0.060509452378114253,0.0008552064720789885,0.2371251543749127,0.18251818842754708,0.008364929034614608,0.008629886981874235,0.06317857256491854,0.1933124491680632,0.032908325711597,0.007983706074903077,0.002224761103424975,0.0029239733445040254
