,차입금의존도,매출채권,판매 및 관리비,최대주주비율_변동성,결산기간_주가변동률,결산기간_거래량증가,총자본,당기순이익,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액+타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액+BW금액+CB금액+유상증자금액,경영권분쟁소송+최대주주변경카운트+불성실공시법인지정카운트+조회공시요구카운트+상호변경카운트+업종변경카운트,영업이익,매출총이익,최대주주비율,영업현금흐름
2012-01,0.3501951477473111,0.10428307408946072,0.12384888154842219,0.20540773000712656,0.03837797785734504,0.020561024918830627,0.015204003433213627,0.029078529125896528,0.03496476614619148,0.013682977900324682,0.008416641241288488,0.007238629296703864,0.04858168593425017,0.00015893075363508045
2013-01,0.16779758891998234,0.16083910963036144,0.13969502011963106,0.12176012125029183,0.1213619300507744,0.06108417420460793,0.05775970820635341,0.05220421532997079,0.04469095863387488,0.03243340196138891,0.02035674344999466,0.01261383964509123,0.0048508815148500155,0.0025523070828272014
2014-01,0.014329318680679926,0.022781442067983385,0.031900867935912125,0.11905407726293621,0.041652530529374766,0.03875598290702982,0.04348260355215162,0.0034259379431714953,0.07585319685608495,0.5348286714118214,0.0022765729219505603,0.015278045426550669,0.04888431097435587,0.007496441529997127
2015-01,0.07432113583966357,0.003485437754952199,0.004707998771455647,0.07124307067913559,0.029892814295416507,0.2546832601378736,0.002719153962580348,0.029254372193371563,0.18120233485846568,0.23161657780926243,0.01739136208494546,0.010350263581959429,0.06738427180043605,0.021747946230481957
2016-01,0.015863864227503053,0.005150769356781311,0.002533338983324258,0.4045544304901369,0.0070162871307384855,0.5004186495269437,0.004957706766376394,0.0022085601823368405,0.013098727531218716,0.034995885731082345,0.0018810837814918486,0.00046798398731422153,0.0063093506783695585,0.0005433616263823021
2017-01,0.17842246897657169,0.0125020149035469,0.015421184244641268,0.007668524220318489,0.004520472938132186,0.0204089874126412,0.00017790958654006992,0.029660008616483935,0.1555628520038358,0.4112297136982232,0.008758706531131966,0.0017584634431051691,0.14509099893928507,0.008817694485543145
2018-01,0.1698569063916686,0.021474790188038568,0.026372241977528996,0.051822595655553375,0.0010663304836094523,0.24970096115032006,0.003202052182565764,0.031934166481614096,0.26771923397944103,0.08125361631270028,0.015267295939893009,0.0004102003517459647,0.06475263154576867,0.015166977359551876
2019-01,0.12600223226162968,0.009625206575936043,0.016989862595350992,0.013673808126905718,0.0001061957584847774,0.006034413123848267,0.00202675973646199,0.011703977263711493,0.12827576507528318,0.5963123124262685,0.0019046063303438546,0.004078129217131017,0.08274513165330016,0.0005215998553443231
2020-01,0.2836013774373909,0.025374197591731037,0.054212937352090956,0.0038653748949682883,0.014181197773327648,0.22470186128285483,0.0019218840188712936,0.09782907128435289,0.08926947063824094,0.05067054270511677,0.04388116265136514,0.00016057623027819552,0.10589080388507095,0.004439542254339986
2021-01,0.05865594160973932,0.05595603796886991,0.08044700450097073,0.19679521807703626,0.010397322841481423,0.17830120501830016,0.022683404190718612,0.018333341766929287,0.04615386844186401,0.18068906260050638,0.00994904238272156,0.028099093583856264,0.10681866089838725,0.006720796118618861
