,매출총이익/총자본,영업이익/총자본,판매 및 관리비/총자본,당기순이익/총자본,영업현금흐름/총자본,BW금액_전체시장+CB금액_전체시장+유상증자금액_전체시장/총자본,자기주식처분결정금액_전체시장+특수관계인에대한자금대여금액_전체시장+최대주주변경을수반하는주식담보제공금액_전체시장+최대주주변경을수반하는주식양수도금액_전체시장/총자본,매출채권/총자본,타법인주식및출자증권취득결정자기자본대비_전체시장+차입금의존도,경영권분쟁소송_전체시장+최대주주변경카운트_전체시장+상호변경카운트_전체시장+업종변경카운트_전체시장+불성실공시법인지정카운트_전체시장+조회공시요구카운트_전체시장,최대주주비율,거래량회전율
2012-01,0.6706345199136696,0.4986511755407127,0.4567793960638714,0.3383723840986262,0.1742808658918279,0.16229501347145286,0.16206429730901273,0.14453944309933764,0.10857942114424911,0.10800280671087928,0.09547504684242747,0.08032562991393344
2013-01,0.15189980131901248,0.5587020552907729,0.25250088505193535,0.5969937874474703,0.21342805178768126,0.2021347143709283,0.13576041906163042,0.10168253023883064,0.18204567625427268,0.18678305013696908,0.21723662006899389,0.20083240897150242
2014-01,0.21527195508532773,0.19420003766566885,0.22790925616364618,0.1619840630578901,0.06490442916533751,0.5975773345515734,0.5881305265837619,0.06664510523305692,0.07670489438059988,0.4817303133692228,0.11576761998794052,0.20917446475597426
2015-01,0.3015240576380434,0.2314421850159756,0.48471135919851926,0.24927457714735587,0.09738686276407764,0.30601784160793666,0.33143018871106245,0.27624125962052193,0.26489127738757257,0.2127970842666741,0.13801719626119008,0.10626611038107038
2016-01,0.15268640783316423,0.4770958332167918,0.1750112850974641,0.5187782744093483,0.25396519135295365,0.2920813138112576,0.13451752456773763,0.08768592645927131,0.18562267486082862,0.20620249914800107,0.26383762984013354,0.2525154394030481
2017-01,0.2796904286836618,0.24982630257603616,0.47802406050698487,0.3052736986111797,0.11784338151555424,0.3300002932354611,0.3647857704149635,0.22619425715539893,0.13800797283276928,0.2330757948761258,0.1614460208086638,0.11583201878320096
2018-01,0.2573358302528797,0.22068202340856435,0.3165538860152421,0.23955702423847147,0.09420430078607725,0.5105674218498814,0.40227127830342074,0.0804004309836586,0.07673168314492936,0.43364521131557665,0.16442626130343302,0.20362464839786534
2019-01,0.2510566162000086,0.17428058607728478,0.298648076580154,0.14637806414653,0.0958886273171774,0.5410714880978301,0.5249941508992141,0.059516021092706206,0.06733532735370137,0.5540325666887075,0.11388222458210427,0.17291625096458169
2020-01,0.2531788144878134,0.16174990520099827,0.2933362522907933,0.15215534185510163,0.11885584540715315,0.5533021438494228,0.5254278618881463,0.0804470710524581,0.092769890780984,0.48114675784084165,0.12431663195728418,0.16331348338900292
2021-01,0.21727062175359693,0.3041688187713008,0.25024722093929036,0.33112222907584626,0.17891206652317843,0.256185242124663,0.457179399984329,0.28511534384299086,0.31808807649075244,0.3031811368480286,0.08029913879640939,0.018230704849613578
